년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,영업,어린이집,홀츠앤키즈맑은샘어린이집,서울특별시 은평구 불광동 641번지 북한산힐스테이트3차아파트관리동 ,126.93487809238701,37.6184693017776,은평구,불광1동
2020,영업,어린이집,신촌사랑어린이집,서울특별시 마포구 염리동 518번지 1층 ,126.947297502657,37.5499266759541,마포구,염리동
2020,영업,어린이집,오르다킨더가든어린이집,서울특별시 은평구 대조동 59-23번지 ,126.92280843335199,37.60819077071,은평구,대조동
2020,영업,어린이집,케이티아이행복한어린이집,서울특별시 양천구 목동 924번지 ,126.871093194039,37.5294459269502,양천구,목1동
2020,영업,어린이집,아이젤어린이집,서울특별시 은평구 응암동 427-90번지 ,126.919306752775,37.5942404221455,은평구,응암2동
2020,영업,어린이집,미래어린이집,서울특별시 용산구 후암동 244-104번지 ,126.97829877022,37.5490102028831,용산구,후암동
2020,영업,어린이집,단이슬 어린이집,서울특별시 강서구 공항동 651-7번지 공항동청소년공부방 (지상 2층) ,126.814105602826,37.5585335002051,강서구,공항동
2020,영업,어린이집,꿈나무키즈어린이집,서울특별시 강북구 번동 437-17번지 ,127.030127816431,37.63443914785579,강북구,번2동
2020,영업,어린이집,아이사랑어린이집,서울특별시 성북구 정릉동 307-4번지 ,127.008169109133,37.611229468773,성북구,정릉4동
2020,영업,어린이집,우리두리어린이집,서울특별시 송파구 풍납동 395-1번지 지상3층 ,127.11475455032301,37.5277698461042,송파구,풍납2동
2020,영업,어린이집,종로생명숲어린이집,서울특별시 종로구 평창동 186-18번지 지상1층 ,126.96816048913901,37.6064307743195,종로구,평창동
2020,영업,어린이집,샤론어린이집,서울특별시 금천구 시흥동 492-24번지 ,126.90063587456301,37.4467682609632,금천구,시흥1동
2020,영업,어린이집,서울디지털 직장 어린이집,서울특별시 금천구 가산동 50-3번지 305호,126.88389362141899,37.4813751677738,금천구,가산동
2020,폐업,어린이집,수피아 어린이집,서울특별시 강동구 암사동 462-12번지 ,127.12994119118099,37.554078743682794,강동구,암사1동
2020,영업,어린이집,구립극동그린어린이집,서울특별시 성동구 옥수동 436,127.00996242805599,37.5419464759201,성동구,옥수동
2020,영업,어린이집,두란노어린이집,서울특별시 서대문구 북가좌동 3-28번지 ,126.920737136383,37.581854250552794,서대문구,북가좌2동
2020,영업,어린이집,은혜감사어린이집,서울특별시 서대문구 남가좌동 5-7번지 ,126.922693459974,37.5820120071865,서대문구,남가좌2동
2020,영업,어린이집,은송어린이집,서울특별시 송파구 가락동 131-12번지 지하1층 ,127.126277455289,37.4938362562577,송파구,가락2동
2020,영업,어린이집,방죽어린이집,서울특별시 강남구 율현동 318-11번지 12층 ,127.104621879566,37.46993644719621,강남구,세곡동
2020,폐업,어린이집,자연숲어린이집,서울특별시 은평구 갈현동 487-16번지 ,126.91459465857099,37.6144727340685,은평구,갈현2동
2020,영업,어린이집,국회제3어린이집,서울특별시 영등포구 여의도동 1번지 국회제3어린이집 ,126.91535677577801,37.5310475074358,영등포구,여의동
2020,영업,유치원,동일 유치원,서울특별시 중랑구 면목동 665-2번지 ,127.08461362197599,37.5781836218081,중랑구,면목7동
2020,폐업,어린이집,거여동화나라어린이집,서울특별시 송파구 거여동 173-3번지 지상2층 ,127.14423914553801,37.4945772636381,송파구,거여1동
2020,영업,어린이집,꼬마둥지어린이집,서울특별시 도봉구 창동 585-64번지 ,127.03480342974899,37.6394702175247,도봉구,창2동
2020,영업,어린이집,온무리 교회 (어린이집),서울특별시 서초구 양재동 2-33번지 온무리교회 지하1층 ,127.040684775858,37.484655938561204,서초구,양재1동
2020,영업,어린이집,조은어린이집,서울특별시 강북구 수유동 252-185번지 ,127.020647972894,37.64639260625521,강북구,수유2동
2020,영업,어린이집,창5동가인어린이집,서울특별시 도봉구 창동 320번지 행정지원센터 지상1층 ,127.044179038444,37.6526196078504,도봉구,창5동
2020,영업,어린이집,예일어린이집,서울특별시 도봉구 창동 458-4번지 ,127.041571436203,37.6380504215374,도봉구,창3동
2020,영업,어린이집,용두동 어린이집,서울특별시 동대문구 용두동 140-2번지 1층 ,127.031495212267,37.5792961101198,동대문구,용신동
2020,폐업,어린이집,세빛어린이집,서울특별시 은평구 갈현동 277-4번지 ,126.914096423789,37.621355354307795,은평구,갈현1동
2020,영업,어린이집,동심영재어린이집,서울특별시 마포구 망원동 466-9번지 ,126.90074852672599,37.560298272249604,마포구,망원2동
2020,폐업,어린이집,은지어린이집,서울특별시 은평구 갈현로1길 18 (신사동),126.90823167997299,37.5994285896253,은평구,신사1동
2020,폐업,유치원,자연아이유치원,서울특별시 도봉구 방학동 263-58번지 ,127.035808946448,37.6610318589483,도봉구,방학1동
2020,영업,어린이집,리버웰어린이집,서울특별시 마포구 용강동 502번지 용강삼성래미안 리버웰아파트단지내 1층 110동 ,126.94184391155899,37.542332067439396,마포구,용강동
2020,영업,어린이집,디딤돌어린이집,서울특별시 송파구 삼전동 16-7번지 3층 ,127.091818785709,37.50624798690279,송파구,삼전동
2020,영업,유치원,서울새솔유치원,서울특별시 중랑구 신내동 242-1번지 ,127.10895407316099,37.61712869938921,중랑구,신내1동
2020,영업,유치원,수정유치원,서울특별시 송파구 방이동 45-4번지 지하1층 ,127.11495942607401,37.516263339176895,송파구,방이2동
2020,영업,어린이집,구립 예다움 보듬이 나눔이 어린이집,서울특별시 구로구 개봉동 403-82번지 ,126.855953793731,37.4882967516355,구로구,개봉3동
2020,영업,어린이집,새솔어린이집,서울특별시 서대문구 홍제동 107-12번지 ,126.94874590339899,37.5857994403111,서대문구,홍제2동
2020,영업,어린이집,새솔어린이집,서울특별시 은평구 신사동 350-39번지 1-3층 ,126.91256056171801,37.5915008089723,은평구,신사2동
2020,영업,어린이집,구립 한빛어린이집,서울특별시 금천구 독산동 1017-21번지 ,126.90006627685601,37.468418507827,금천구,독산4동
