XÁÂÇ¥,YÁÂÇ¥,ÀÚÄ¡±¸,¹øÂ°,1ÀÎ °¡±¸ Á¡¼ö,2ÀÎ °¡±¸ Á¡¼ö,4ÀÎ °¡±¸ Á¡¼ö
127.103440464986,37.5805952970352,Áß¶û±¸,4391,0.0,0.0,0
127.103136226662,37.580214622403,Áß¶û±¸,4391,0.0,0.0,0
127.103098480071,37.5801628391781,Áß¶û±¸,4391,0.0,0.0,0
127.10290126121299,37.579915237529,Áß¶û±¸,4391,0.0,0.0,0
127.10289434398899,37.5799067922193,Áß¶û±¸,4391,0.0,0.0,0
127.10290869401699,37.5797862729989,Áß¶û±¸,4391,0.0,0.0,0
127.10297699330201,37.5792774364279,Áß¶û±¸,4391,0.0,0.0,0
127.103025305757,37.5789068733082,Áß¶û±¸,4391,0.0,0.0,0
127.10280784355601,37.5785967784201,Áß¶û±¸,4391,0.0,0.0,0
127.102794197642,37.578576797240295,Áß¶û±¸,4391,0.0,0.0,0
127.10277754603399,37.5785526020209,Áß¶û±¸,4391,0.0,0.0,0
127.102757520484,37.57852813038671,Áß¶û±¸,4391,0.0,0.0,0
127.102592236243,37.578342713869,Áß¶û±¸,4391,0.0,0.0,0
127.102318188316,37.578043090892294,Áß¶û±¸,4390,0.0,0.0,0
127.102229405366,37.577920695577895,Áß¶û±¸,4390,0.0,0.0,0
127.10195756623501,37.577552360626,Áß¶û±¸,4390,0.0,0.0,0
127.101892423182,37.577380390673795,Áß¶û±¸,4390,0.0,0.0,0
127.101733200138,37.5769669100385,Áß¶û±¸,4390,0.0,0.0,0
127.101477258999,37.576580270392,Áß¶û±¸,4315,0.0,0.0,0
127.10114351057501,37.5760709273964,Áß¶û±¸,4315,0.0,0.0,0
127.101202109065,37.5755730827396,Áß¶û±¸,4315,0.0,0.0,0
127.101248443764,37.5751661939882,Áß¶û±¸,4315,0.0,0.0,0
127.101161684189,37.5749697349753,Áß¶û±¸,4315,0.0,0.0,0
127.100902317483,37.5743916371024,Áß¶û±¸,4315,0.0,0.0,0
127.100918878591,37.5742041007334,Áß¶û±¸,4315,0.0,0.0,0
127.100949142325,37.5738248227682,Áß¶û±¸,4314,0.0,0.0,0
127.10088786481,37.5737634901097,Áß¶û±¸,4314,0.0,0.0,0
127.10073694168,37.573597781355,Áß¶û±¸,4314,0.0,0.0,0
127.100725608633,37.5735879340796,Áß¶û±¸,4314,0.0,0.0,0
127.099474895115,37.5727476816398,Áß¶û±¸,4314,0.0,0.0,0
127.099452243263,37.5727384112533,Áß¶û±¸,4314,0.0,0.0,0
127.099424632218,37.572728298047,Áß¶û±¸,4314,0.0,0.0,0
127.09857588428,37.5726349537915,Áß¶û±¸,4314,0.0,0.0,0
127.09854542992201,37.5726144273038,Áß¶û±¸,4314,0.0,0.0,0
127.098336557526,37.5723530331512,Áß¶û±¸,4314,0.0,0.0,0
127.09832274998199,37.5723375565012,Áß¶û±¸,4314,0.0,0.0,0
127.097411497167,37.5719241342848,Áß¶û±¸,4314,0.0,0.0,0
127.096994822689,37.571670780952395,Áß¶û±¸,4314,0.0,0.0,0
127.096722266791,37.5715282485984,Áß¶û±¸,4314,0.0,0.0,0
127.096384921461,37.5713525482798,Áß¶û±¸,4314,0.0,0.0,0
127.09633945313999,37.5713368175245,Áß¶û±¸,4314,0.0,0.0,0
127.095897336878,37.57138672608821,Áß¶û±¸,4314,0.0,0.0,0
127.09584882282302,37.5713434093416,Áß¶û±¸,4314,0.0,0.0,0
127.09580419947201,37.5710190894775,Áß¶û±¸,4314,0.0,0.0,0
127.095801885981,37.5710067027462,Áß¶û±¸,4314,0.0,0.0,0
127.095750100641,37.5709003104291,Áß¶û±¸,4239,0.0,0.0,0
127.095748135583,37.5708859502556,Áß¶û±¸,4239,0.0,0.0,0
127.095611448247,37.5706222410933,Áß¶û±¸,4239,0.0,0.0,0
127.095588095366,37.570621701090005,Áß¶û±¸,4239,0.0,0.0,0
127.09515188961299,37.5707242558723,Áß¶û±¸,4239,0.0,0.0,0
127.09511652661502,37.5707327261663,Áß¶û±¸,4239,0.0,0.0,0
127.094795012169,37.5707557846125,Áß¶û±¸,4239,0.0,0.0,0
127.09400496218201,37.5706263305664,Áß¶û±¸,4239,0.0,0.0,0
127.093387003034,37.5705040534666,Áß¶û±¸,4239,0.0,0.0,0
127.093376924866,37.570500961910795,Áß¶û±¸,4239,0.0,0.0,0
127.093002683498,37.5703658250364,Áß¶û±¸,4239,0.0,0.0,0
127.092713557999,37.570261308898395,Áß¶û±¸,4239,0.0,0.0,0
127.09268842911301,37.5702523184288,Áß¶û±¸,4239,0.0,0.0,0
127.092681521832,37.5702503505994,Áß¶û±¸,4239,0.0,0.0,0
127.090511418067,37.5696976195218,Áß¶û±¸,4238,0.0,0.0,0
127.09050481417499,37.56969607557279,Áß¶û±¸,4238,0.0,0.0,0
