인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
20160308,폐업,20170427,서울특별시 종로구 궁정동 4-11번지 2층 ,무궁화어린이집,어린이집
20160418,폐업,20181231,서울특별시 종로구 창성동 117-6번지 1층 ,서울청사 한빛어린이집,어린이집
20160427,폐업,20190405,서울특별시 종로구 재동 32-10번지 1층 ,롯데백화점 어린이집,어린이집
20160502,폐업,20200304,서울특별시 종로구 창신동 622-2번지 ,창이어린이집,어린이집
20170427,폐업,20190313,서울특별시 종로구 궁정동 4-11번지 2층 ,무궁화 어린이집,어린이집
20050810,폐업,20190612,서울특별시 종로구 신문로1가 42번지 언더우드기념관 1층 ,새문안어린이집,어린이집
20050909,폐업,20190319,서울특별시 종로구 혜화동 78-4번지 지상2층 ,영희어린이집,어린이집
20050922,폐업,20190313,서울특별시 종로구 창신동 23-330번지 ,은행나무어린이집,어린이집
20051213,폐업,20190729,서울특별시 종로구 숭인동 59-27번지 지상2층 ,둥지어린이집,어린이집
20060210,폐업,20190701,서울특별시 종로구 운니동 69번지 ,운현어린이집,어린이집
19900628,폐업,20181012,서울특별시 종로구 청진동 249번지 B동 24층 D-타워 ,대림산업(주),산업체
20031017,폐업,20200117,서울특별시 종로구 연건동 28-2번지 서울대학교병원(소아병동) ,서울대학교병원(소아병동),병원
